ИнцидентID,Номер,Заглавие,Категория,Приоритет,Статус,ПотребителID,ТехникID,ОтделID,Създаден,Назначен,Решен,ВремеМинути
1,INC-00001,"Компютър не се включва — счетоводство",Hardware,High,Resolved,1,1,1,01.09.2025 08:15,01.09.2025 09:00,01.09.2025 11:30,195
2,INC-00002,"Excel не стартира след Windows Update",Software,Medium,Resolved,2,2,2,01.09.2025 09:30,01.09.2025 10:15,01.09.2025 13:00,210
3,INC-00003,"Без интернет — целия 3-ти етаж",Network,Critical,Resolved,2,3,2,02.09.2025 08:05,02.09.2025 08:20,02.09.2025 09:45,100
4,INC-00004,"Принтерът в HR не печата цветно",Peripheral,Low,Resolved,4,5,4,02.09.2025 10:00,03.09.2025 09:00,03.09.2025 11:00,1500
5,INC-00005,"Подозрителни опити за вход — Финансова система",Security,Critical,Resolved,1,4,1,03.09.2025 07:55,03.09.2025 08:00,03.09.2025 08:30,35
6,INC-00006,"Монитор с черни хоризонтални ивици",Hardware,Medium,Resolved,2,1,2,03.09.2025 11:00,04.09.2025 09:30,04.09.2025 10:15,1395
7,INC-00007,"Microsoft Teams не може да споделя екран",Software,Medium,Resolved,5,2,5,04.09.2025 09:00,04.09.2025 10:00,04.09.2025 14:30,330
8,INC-00008,"VPN не се свързва от домашен офис",Network,High,Resolved,1,3,1,05.09.2025 08:30,05.09.2025 09:00,05.09.2025 11:00,150
9,INC-00009,"Мишка с прекъснат USB кабел",Peripheral,Low,Resolved,4,5,4,05.09.2025 10:30,08.09.2025 09:00,08.09.2025 09:30,4260
10,INC-00010,"Ransomware подозрение — Маркетинг",Security,Critical,Resolved,5,4,5,08.09.2025 11:00,08.09.2025 11:05,08.09.2025 16:00,300
11,INC-00011,"Сървър DB01 — дисково пространство 95%",Hardware,Critical,Resolved,3,1,3,09.09.2025 07:00,09.09.2025 07:15,09.09.2025 10:00,180
12,INC-00012,"Windows Update блокира работна станция",Software,High,Resolved,6,2,6,09.09.2025 09:00,09.09.2025 09:30,09.09.2025 11:30,150
13,INC-00013,"Мрежов суич — порт 12 изгорял",Network,High,Resolved,3,3,3,10.09.2025 08:00,10.09.2025 08:30,10.09.2025 12:30,270
14,INC-00014,"Скенерът не разпознава документи коректно",Peripheral,Medium,Resolved,1,5,1,10.09.2025 10:00,11.09.2025 09:00,11.09.2025 10:30,1470
15,INC-00015,"Изтекла парола на домейн акаунт",Security,Medium,Resolved,7,4,1,11.09.2025 08:45,11.09.2025 09:00,11.09.2025 09:30,45
16,INC-00016,"Клавиатура — залята с кафе",Hardware,Low,Resolved,8,5,2,12.09.2025 10:15,12.09.2025 11:00,12.09.2025 11:30,75
17,INC-00017,"ERP системата се рестартира сама",Software,High,Resolved,3,2,3,15.09.2025 07:30,15.09.2025 08:00,18.09.2025 09:00,4410
18,INC-00018,"Wi-Fi сигнал много слаб в конферентната зала",Network,Medium,Resolved,5,3,5,15.09.2025 09:00,16.09.2025 09:00,17.09.2025 14:00,3180
19,INC-00019,"Проекторът в зала 2 не показва HDMI сигнал",Peripheral,Medium,Resolved,9,5,3,16.09.2025 13:00,16.09.2025 14:00,16.09.2025 15:00,120
20,INC-00020,"Открит USB флаш с malware",Security,Critical,Resolved,3,4,3,17.09.2025 09:00,17.09.2025 09:05,17.09.2025 11:00,120
21,INC-00021,"Работна станция — BSOD при стартиране на AutoCAD",Hardware,High,InProgress,9,1,3,19.09.2025 08:00,19.09.2025 09:00,,
22,INC-00022,"Outlook не синхронизира контакти с телефона",Software,Low,InProgress,10,2,4,19.09.2025 10:30,20.09.2025 09:00,,
23,INC-00023,"Вътрешен firewall блокира ERP апликацията",Network,High,InProgress,3,3,3,20.09.2025 08:15,20.09.2025 08:30,,
24,INC-00024,"UPS — не задържа батерия при токов удар",Hardware,Medium,InProgress,3,1,3,20.09.2025 11:00,21.09.2025 09:00,,
25,INC-00025,"Zoom срива компютъра при споделяне на видео",Software,Medium,Open,7,,1,21.09.2025 09:00,,,
26,INC-00026,"IP адрес конфликт — 2 принтера с един IP",Network,High,Open,8,,2,21.09.2025 10:30,,,
27,INC-00027,"Принтер — засядане на хартия при всяка 3-та стр.",Peripheral,Low,Open,6,,6,22.09.2025 08:00,,,
28,INC-00028,"Изтекъл SSL сертификат на корпоративния сайт",Security,Critical,Open,3,,3,22.09.2025 07:00,,,
29,INC-00029,"RAM памет — чести сривове при рендиране",Hardware,High,Open,5,,5,22.09.2025 11:00,,,
30,INC-00030,"CRM системата работи изключително бавно",Software,Medium,Open,2,,2,23.09.2025 09:00,,,
